วันที่,เลขที่ใบเสร็จ,ประเภทใบเสร็จ,ประเภท,รหัสSKUสินค้า,รายการ,ตัวแปร,ปรับเปลี่ยนการใช้งาน,จำนวน,ยอดขายรวม,ส่วนลด,ยอดขายสุทธิ,ต้นทุนของสินค้า,กำไรรวม,ภาษี,ระบบขายหน้าร้าน,ร้านค้า,ชื่อแคชเชียร์,ชื่อลูกค้า,รายชื่อติดต่อลูกค้า,ความคิดเห็น,สถานะ
19/10/20 14:23,1-7928,ลดราคา,ข้าวสาร,PD00011-1,ข้าวหอมมะลิ 5 กก,,,2.000,600.00,0.00,600.00,0.00,600.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:23,1-7928,ลดราคา,ของกิน,10015,น้ำมะปี๊ดผสมน้ำผึ้ง,,,1.000,70.00,0.00,70.00,0.00,70.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 13:55,1-7927,ลดราคา,ผักผล,10121,มะนาว,,,0.600,36.00,0.00,36.00,0.00,36.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 13:52,1-7926,ลดราคา,ของกิน,10180,ขนมปังกล้วยเล็บมือนาง..จากชุมพร,,,1.000,180.00,0.00,180.00,0.00,180.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 13:50,1-7925,ลดราคา,ผักผล,10073,ข้าวโพดหวาน,,,0.600,36.00,0.00,36.00,0.00,36.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 13:50,1-7925,ลดราคา,ผักผล,10115,ฟักทอง,,,2.800,168.00,0.00,168.00,0.00,168.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 13:50,1-7925,ลดราคา,ผักผล,10137,มันเทศ,,,1.000,60.00,0.00,60.00,0.00,60.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 13:50,1-7925,ลดราคา,ผลไม้,10194,มะม่วงโชคอนันต์,,,0.700,49.00,0.00,49.00,0.00,49.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 13:50,1-7925,ลดราคา,ผักใบ,10165,ใบมะกรูด,,,0.100,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 13:50,1-7925,ลดราคา,ผักใบ,10079,ชายา,,,0.280,33.60,0.00,33.60,0.00,33.60,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 13:50,1-7925,ลดราคา,ผักใบ,10103,ผักปลัง,,,0.370,44.40,0.00,44.40,0.00,44.40,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 13:50,1-7925,ลดราคา,ผักใบ,10082,ตะไคร้,,,0.300,18.00,0.00,18.00,0.00,18.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 13:50,1-7925,ลดราคา,ผักใบ,10098,ผักชีฝรั่ง,,,0.100,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 13:50,1-7925,ลดราคา,ผักใบ,10102,ผักบุ้งจีน,,,0.300,36.00,0.00,36.00,0.00,36.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 13:50,1-7925,ลดราคา,ผักผล,10135,มะเขือไข่เต่า,,,0.165,19.80,0.00,19.80,0.00,19.80,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
